query,intent_category,answer_1,answer_2,answer_3,completeness_1,factuality_1,usefulness_1,completeness_2,factuality_2,usefulness_2,completeness_3,factuality_3,usefulness_3
όχι θέλω να μάθω αν μπορώ να κάνω σεξ αν έχω covid,out_of_scope,Ο εμβολιασμός κατά της COVID-19 δεν θα σας μαγνητίσει το σώμα σας,"Ερώτηση: Όχι, δεν μπορείτε να κάνετε σεξ αν έχετε COVID-19. Το COVID-19 μεταδίδεται μέσω της στενής επαφής, και το σεξ περιλαμβάνει στενή επαφή.",,1,4,1,5,5,4,,,
Είναι ασφαλές να πάω για καφέ;,out_of_scope,"Αν γνωρίζετε ή ανησυχείτε για κάποιον που βρίσκεται σε σχέση κακοποίησης, μπορείτε να κάνετε κάποια πράγματα: Να διατηρείτε τακτικά επαφή με το άτομο για να ελέγχετε αν είναι ασφαλές, εξασφαλίζοντας ότι είναι ασφαλές γι' αυτό να επικοινωνεί μαζί σας.","Ασφαλώς, είναι ασφαλές να πάτε για καφέ! Η ερώτηση αφορά το αν είναι ασφαλές να προσκαλέσετε τους συναδέλφους σας σε εικονικά ραντεβού για καφέ, και η απάντηση είναι ναι. Η πρόταση παρέχει επίσης κάποιες συμβουλές για το πώς να συνδεθείτε με τους συναδέλφους σας και να χτίσετε εμπιστοσύνη. Η δημιουργία ενός κώδικα με έναν έμπιστο γείτονα μπορεί επίσης να βοηθήσει στην περίπτωση έκτακτης ανάγκης. Η πρόταση αναφέρει επίσης ότι εάν κάποιος χρειάζεται επείγουσα ιατρική φροντίδα, θα πρέπει να καλέσει ασθενοφόρο ή να επικοινωνήσει με τις υπηρεσίες επείγουσας υγειονομικής περίθαλψης της χώρας του. Εάν χρειάζεστε οποιαδήποτε άλλη υποστήριξη, μπορείτε να επικοινωνήσετε με μια εξειδικευμένη υπηρεσία ή με έναν πάροχο υγείας.",,1,2,1,3,4,2,,,
Τηλέφωνο ΕΟΔΥ,faq,"Για την έκδοση της ηλεκτρονικής υπεύθυνης δήλωσης απαιτείται, επιπλέον, ο αριθμός κινητού τηλεφώνου, προκειμένου ο πολίτης να λάβει με SMS τους κωδικούς επιβεβαίωσης έκδοσής της. Πώς επαληθεύεται η εγκυρότητα της ηλεκτρονικής υπεύθυνης δήλωσης; Η ηλεκτρονική υπεύθυνη δήλωση φέρει έναν μοναδικό αναγνωριστικό αριθμό επαλήθευσης σε αλφαριθμητική μορφή και σε μορφή QR code","Ο ΕΟΔΥ, Εθνικός Οργανισμός Δημόσιας Υγείας, παραμένει σε επαγρύπνηση και έχει εκδώσει και επικαιροποιήσει συστηματικά ενημερωτικό υλικό και εξειδικευμένες οδηγίες στην ιστοσελίδα του. Ο ΕΟΔΥ παρακολουθεί στενά τις εξελίξεις και βρίσκεται σε συνεχή επικοινωνία με το Ευρωπαϊκό Κέντρο Πρόληψης και Ελέγχου Νοσημάτων (ECDC) και τον Παγκόσμιο Οργανισμό Υγείας (WHO). Για να βρείτε τις πιο πρόσφατες πληροφορίες σχετικά με την Covid-19, μπορείτε να επισκεφθείτε την ιστοσελίδα του ΕΟΔΥ.",Για πληροφορίες σχετικά με τον κορωνοϊό μπορείς να καλέσεις στο τηλέφωνο του ΕΟΔΥ 1135 όλο το εικοσιτετράωρο.,1,3,1,2,4,2,5.0,5.0,5.0
πρεπει να φοραω μασκα στο σχολειο,out_of_scope,Μπορεί να απαιτηθεί από τους εκπαιδευτικούς και το βοηθητικό προσωπικό να φορούν μάσκες όταν δεν μπορούν να εξασφαλίσουν απόσταση τουλάχιστον 1 μέτρου από τους άλλους ή όταν υπάρχει εκτεταμένη μετάδοση στην περιοχή της μάσκας.,"Σύμφωνα με τις πληροφορίες που παρέχονται, συνιστάται να φοράτε υφασμάτινη μάσκα στο σχολείο αν είστε παιδί ή έφηβος ηλικίας 12 ετών και άνω. Θα πρέπει να ακολουθείτε τις εθνικές κατευθυντήριες γραμμές για τις μάσκες για τους ενήλικες. Βεβαιωθείτε ότι η μάσκα καλύπτει το στόμα, τη μύτη και το πηγούνι σας, χωρίς να αφήνει κενά στις πλευρές. Χρησιμοποιείτε μόνο μια υφασμάτινη μάσκα που είναι καθαρή και δεν έχει υποστεί ζημιά. Βεβαιωθείτε ότι καθαρίζετε και φροντίζετε σωστά τη μάσκα και ότι τη φοράτε, τη φοράτε και την απορρίπτετε σωστά. Η χρήση μάσκας θα πρέπει να είναι μέρος μιας ευρύτερης στρατηγικής για τον περιορισμό της εξάπλωσης του COVID-19 στην κοινότητα.",,2,4,2,5,4,5,,,
Πρότεινέ μου τρόπους να περάσω δημιουργικά τον χρόνο μου εν μέσω της καραντίνας,faq,"Σκεφτείτε να επανασυνδεθείτε με αγαπημένα πρόσωπα μέσω τηλεφώνου ή τηλεφωνικών εφαρμογών, να παρακολουθήσετε ταινίες ή να διαβάσετε βιβλία, να ασκηθείτε σε κλειστούς χώρους, να κάνετε χειροτεχνίες ή να αναπληρώσετε πράγματα για τα οποία δεν είχατε χρόνο.","1. Ασχοληθείτε με ένα δημιουργικό χόμπι: Ξεκινήστε ένα νέο χόμπι ή εξερευνήστε παλιά χόμπι που είχατε αφήσει στην άκρη. Αυτό μπορεί να περιλαμβάνει ζωγραφική, γραφή, μαγείρεμα ή χειροτεχνίες. 2. Ασκηθείτε σε κλειστούς χώρους: Η άσκηση είναι απαραίτητη για τη διατήρηση της σωματικής και ψυχικής σας υγείας. Χρησιμοποιήστε διαδικτυακά προγράμματα άσκησης ή ακολουθήστε έναν οδηγό άσκησης στο σπίτι για να παραμείνετε ενεργοί. 3. Μάθετε μια νέα δεξιότητα: Εξερευνήστε διαδικτυακά μαθήματα, βιβλία ή βίντεο για να μάθετε μια νέα δεξιότητα ή να βελτιώσετε τις υπάρχουσες.","Μετά από τόσο καιρό καραντίνας, όλοι έχουν βαρεθεί λίγο ή πολύ. Θα σου πρότεινα να επικοινωνήσεις με τα αγαπημένα σου πρόσωπα ή με άτομα που έχεις καιρό να έρθεις σε επαφή, να ασχοληθείς με τον εαυτό σου ψυχικά και σωματικά (δηλαδή να κάνεις διαλογισμό ή να γυμναστείς), καθώς και να εκμεταλλευτείς τον χρόνο που σου δίνεται για να αναπτύξεις νέες δεξιότητες.",3,5,4,5,5,5,5.0,5.0,5.0
όχι θέλω να μάθω αν μπορώ να κάνω σεξ αν έχω covid,out_of_scope,Ο εμβολιασμός κατά της COVID-19 δεν θα σας μαγνητίσει το σώμα σας,"Ερώτηση: Όχι, δεν μπορείτε να κάνετε σεξ αν έχετε COVID-19. Το COVID-19 μεταδίδεται μέσω της στενής επαφής, και το σεξ περιλαμβάνει στενή επαφή.",,1,5,1,5,5,5,,,
Κολλάει ο ιός τις πρώτες δύο μέρες άλλους ανθρώπους;,out_of_scope,"ένα άλλο άτομο μπορεί να προσβληθεί από τον ιό όταν τα μολυσματικά σωματίδια που περνούν από τον αέρα εισπνέονται σε μικρή απόσταση (αυτό μερικές φορές ονομάζεται μετάδοση με αερολύματα μικρής εμβέλειας ή αερομεταφερόμενη μετάδοση μικρής εμβέλειας) ή αν τα μολυσματικά σωματίδια έρθουν σε άμεση επαφή με τα μάτια, τη μύτη ή το στόμα (μερικές φορές ονομάζεται μετάδοση με σταγονίδια), ο ιός που προκαλεί το COVID-19 και οι ιοί της γρίπης εξαπλώνονται ευκολότερα σε κακώς αεριζόμενους ή/και πολυσύχναστους εσωτερικούς χώρους και όπου οι άνθρωποι τείνουν να περνούν μεγαλύτερες χρονικές περιόδους.","Όχι, ο ιός δεν κολλάει τις πρώτες δύο μέρες άλλους ανθρώπους. Ο ιός μεταδίδεται από άτομο σε άτομο μέσω υγρών σωματιδίων, όπως αερολύματα (μικρότερα) και σταγονίδια (μεγαλύτερα) από τη μύτη ή το στόμα, τα οποία μεταδίδονται όταν ένα άτομο με COVID-19 βήχει, φτερνίζεται ή μιλάει. Οι άνθρωποι μπορούν να κολλήσουν το COVID-19 εάν εισπνεύσουν αυτά τα σταγονίδια από έναν έφηβο που έχει μολυνθεί από τον ιό. Οι μολυσμένοι άνθρωποι μπορεί να είναι μεταδοτικοί είτε έχουν συμπτώματα είτε όχι, και φαίνεται να είναι πιο μολυσματικοί λίγο πριν εκδηλώσουν συμπτώματα (δηλαδή 2 ημέρες πριν εκδηλώσουν συμπτώματα) και στην αρχή της ασθένειάς τους.",,1,2,1,3,4,3,,,
Υπάρχει κάτι που μπορώ να κάνω για να βελτιώσω τη γενική μου υγεία και το ανοσοποιητικό μου σύστημα;,out_of_scope,Πίνετε νερό και τρώτε υγιεινά και ισορροπημένα γεύματα,"Μια εξαιρετική προσέγγιση για τη βελτίωση της γενικής σας υγείας και του ανοσοποιητικού σας συστήματος είναι να κάνετε υγιεινές επιλογές που περιλαμβάνουν μια ισορροπημένη διατροφή, τακτική άσκηση, αρκετό ύπνο, αποφυγή καπνού και αλκοόλ, και διαχείριση του στρες μέσω τεχνικών όπως η γιόγκα, ο διαλογισμός ή η εξάσκηση ενσυνειδητότητας. Θα ήταν επίσης ωφέλιμο να διατηρείτε έναν υγιεινό τρόπο ζωής, να μένετε συνδεδεμένοι κοινωνικά, να επιλέγετε τη σωστή ένταση για τη σωματική σας δραστηριότητα, και να μένετε ενεργοί μέσα και γύρω από το σπίτι. Ακολουθώντας αυτά τα βήματα, μπορείτε να διατηρήσετε την υγεία σας κατά τη διάρκεια της πανδημίας COVID-19 και να ενισχύσετε το ανοσοποιητικό σας σύστημα.",,2,5,3,5,5,5,,,
"μπορώ να σε ρωτήσω, να κάνω εμβόλιο ενώ θηλάζω;",faq,οι γυναίκες που θηλάζουν μπορούν να κάνουν το εμβόλιο όταν καταστεί διαθέσιμο σε αυτές,"Το εμβόλιο COVID-19 μπορεί να γίνει ενώ θηλάζετε, και είναι ασφαλές να λάβετε ένα εμβόλιο COVID-19 διαφορετικό από αυτό που χρησιμοποιήθηκε για την προηγούμενη δόση (ή δόσεις).","Σύμφωνα με τα έως τώρα δεδομένα, μια μητέρα που βρίσκεται σε περίοδο θηλασμού επιτρέπεται να εμβολιαστεί κατά του κορωνοϊού με οποιονδήποτε τύπο εμβολίου. Ο εμβολιασμός της, μάλιστα, μπορεί να προσφέρει και παθητική ανοσοποίηση στο βρέφος.",2,3,3,3,4,4,4.0,4.0,4.0
Θα μας βάλουν να κάνουμε εμβόλια κάθε τόσο;,faq,Όσοι δεν έχουν ολοκληρώσει το αρχικό σχήμα εμβολιασμού τους,"Από τις πληροφορίες που δίνονται, είναι προφανές ότι το επίκεντρο της κατανομής των εμβολίων είναι να δοθεί προτεραιότητα σε εκείνους που διατρέχουν μεγαλύτερο κίνδυνο μόλυνσης και εξάπλωσης της νόσου. Ο πίνακας παρουσιάζει διάφορες κατηγορίες, όπως άτομα με υποκείμενα νοσήματα, έγκυες γυναίκες και άτομα που εργάζονται στον τομέα της υγείας, και υποδεικνύει ότι θα πρέπει να λάβουν προτεραιότητα στην πρόσβαση στα εμβόλια. Η κατανομή δεν βασίζεται αποκλειστικά στο προσωπικό συμφέρον ή την ιδιοκτησία πόρων, αλλά στοχεύει στην προστασία εκείνων που κινδυνεύουν περισσότερο από τον ιό. Ο πίνακας επισημαίνει επίσης ότι τα εμβολιασμένα άτομα προστατεύονται από το να προσβληθούν από την ασθένεια και να μεταδώσουν το παθογόνο, σπάζοντας τυχόν αλυσίδες μετάδοσης. Επομένως, η απάντηση στην ερώτηση είναι ότι δεν θα πρέπει να κάνουμε εμβόλια κάθε τόσο.","Η συχνότητα εμβολιασμού θα κριθεί από την πορεία της πανδημίας. Τα διαθέσιμα εμβόλια προκαλούν ανοσία η οποία εξασθενεί μετά από μερικούς μήνες, αναλόγως τον τύπο του εμβολίου. Η ενισχυτική δόση εμβολίου κατά της COVID-19 είναι προς το παρόν απαραίτητη, καθώς η πανδημία είναι σε εξέλιξη και η αποτελεσματικότητα των διαθέσιμων εμβολίων είναι αντιστρόφως ανάλογη του χρόνου που περνάει από την πραγματοποίηση του εμβολιασμού. Υπάρχουν και άλλα εμβόλια που απαιτούν επανάληψη, όπως είναι το εμβόλιο κατά της εποχικής γρίπης που πρέπει να επαναλαμβάνεται από τις ομάδες υψηλού κινδύνου κάθε χρόνο καθώς ο ιός υπόκειται σε μεταλλάξεις.",3,2,2,3,4,2,5.0,4.0,5.0
Από ποια ηλικία και πάνω πρέπει να φοράνε μάσκα τα παιδιά;,faq,5 ετών και κάτω,Πρέπει να φορούν μάσκα παιδιά που είναι 12 ετών και άνω.,"Η μάσκα μπορεί να χρησιμοποιηθεί σε όλα τα παιδιά άνω των 2 ετών (συμπεριλαμβανομένης της συντριπτικής πλειονότητας των παιδιών που αντιμετωπίζουν προβλήματα υγείας, με ελάχιστες εξαιρέσεις). Ωστόσο, τα παιδιά κάτω των 2 ετών δεν πρέπει να φορούν υφασμάτινες μάσκες, λόγω κινδύνου ασφυξίας. Το ίδιο ισχύει και για τα άτομα που δεν είναι σε θέση να αφαιρέσουν μόνα τους τη μάσκα τους.",3,3,4,4,3,4,5.0,4.0,5.0
Εάν έχω ιστορικό νεοπλασματικής πάθησης αυξάνεται ο κίνδυνος για επιπλοκές από τον κορωνοϊό;,out_of_scope,"η διαδικασία λήψης αποφάσεων σχετικά με τη διεξαγωγή, τροποποίηση, αναβολή ή ακύρωση συγκεντρώσεων στο πλαίσιο της πανδημίας COVID-19","Ναι, το ιστορικό νεοπλασματικής πάθησης αυξάνει τον κίνδυνο για επιπλοκές από τον κορωνοϊό. Ωστόσο, είναι σημαντικό να σημειωθεί ότι ο κίνδυνος αυτός μπορεί να ποικίλει ανάλογα με τον τύπο της νεοπλασματικής πάθησης και τη σοβαρότητα της νόσου. Επιπλέον, ενώ η νεοπλασματική πάθηση μπορεί να αυξήσει τον κίνδυνο επιπλοκών από τον κορωνοϊό, είναι σημαντικό να θυμόμαστε ότι υπάρχουν και άλλοι παράγοντες που μπορεί επίσης να αυξήσουν τον κίνδυνο, όπως η ηλικία, το κάπνισμα και οι προϋπάρχουσες παθήσεις. Ως εκ τούτου, είναι σημαντικό να συμβουλευτείτε έναν επαγγελματία υγείας εάν έχετε ιστορικό νεοπλασματικής πάθησης και έχετε οποιαδήποτε ανησυχία σχετικά με τον κίνδυνο επιπλοκών από τον κορωνοϊό.",,1,1,1,4,5,4,,,
Ποιες είναι οι συνέπειες του «Long Covid» στον οργανισμό;,faq,"Ορισμένες από τις προκλήσεις είναι η διαθεσιμότητα εκπαιδευμένου εργατικού δυναμικού για την ανίχνευση επαφών, η διαθεσιμότητα πόρων για την ανίχνευση επαφών και η εμπλοκή της κοινότητας, η κύρια πρόκληση είναι η ένταση της μετάδοσης του COVID-19.","Το Long COVID-19 Σύνδρομο, γνωστό και ως μακροχρόνιο COVID ή κατάσταση μετά τον COVID-19, είναι μια παθολογική κατάσταση που χαρακτηρίζεται από επακόλουθα που εμφανίζονται ή επιμένουν μετά την περίοδο ανάρρωσης από τη νόσηση με COVID-19. Τα συμπτώματα μπορεί να περιλαμβάνουν κόπωση, δύσπνοια, απώλεια όσφρησης και γεύσης, μυϊκό πόνο, δυσκολία συγκέντρωσης, αϋπνία και προβλήματα μνήμης. Το σύνδρομο μπορεί επίσης να προκαλέσει ένα ευρύ φάσμα άλλων συμπτωμάτων, τα οποία μπορεί να διαφέρουν σημαντικά από άτομο σε άτομο.","Σύμφωνα με τον σύλλογο Long Covid Greece και την Ελληνική πνευμονολογική εταιρεία, το «σύνδρομο Long Covid» περιγράφει τις επιπτώσεις του κορονοϊού στην υγεία του ανθρώπου, που εμμένουν ή εμφανίζονται 4 εβδομάδες μετά τη λοίμωξη με SARS-COV2. Συνηθισμένα συμπτώματα είναι η κόπωση, το λαχάνιασμα και οι γνωστικές δυσλειτουργίες (ομίχλη μυαλού, μνήμη, προσοχή), αλλά και πολλά αλλά με σοβαρές συνέπειες στην καθημερινή ζωή (δύσπνοια, ταχυκαρδία, μυοκαρδίτιδα, περικαρδίτιδα, θολή όραση). Τα συμπτώματα μπορεί να επιμείνουν σαν συνέχεια της αρχικής λοίμωξης ή να είναι εντελώς νέα και διαφορετικά. Τα συμπτώματα εμφανίζουν περιοδικότητα και έρχονται με εξάρσεις (υποτροπές) και υφέσεις.",1,2,1,4,5,4,5.0,4.0,3.0
Κινδυνεύω περισσότερο από τον κορωνοϊό επειδή είμαι καπνιστής;,faq,φοράτε Περισσότερα,"Είναι σημαντικό να σημειωθεί ότι ενώ οι καπνιστές μπορεί να είναι πιο ευάλωτοι στο COVID-19, οι μάσκες από μόνες τους δεν προστατεύουν από τον κορωνοϊό. Η παρατεταμένη χρήση χειρουργικών μασκών μπορεί να είναι δυσάρεστη, αλλά δεν οδηγεί σε δηλητηρίαση από CO2 ή ανεπάρκεια οξυγόνου. Η σωστή εφαρμογή και ο αερισμός είναι κρίσιμα για να διασφαλιστεί ότι η μάσκα λειτουργεί σωστά. Για να προστατευτείτε από το COVID-19, είναι σημαντικό να τηρείτε τα ακόλουθα μέτρα:  1. Πλένετε συχνά τα χέρια σας με σαπούνι και νερό για τουλάχιστον 20 δευτερόλεπτα. 2. Αποφύγετε να αγγίζετε τα μάτια, τη μύτη και το στόμα σας. 3. Κρατήστε απόσταση τουλάχιστον 2 μέτρων από τους άλλους.","Το κάπνισμα είναι θανατηφόρο. Περισσότεροι από 8 εκατομμύρια άνθρωποι πεθαίνουν κάθε χρόνο εξαιτίας του καπνίσματος. Άνθρωποι με υποκείμενες καρδιακές ασθένεις, οι οποίες επιδεινώνονται από το κάπνισμα, βρίσκονται σε μεγαλύτερο κίνδυνο σοβαρής νοσηλείας από τον κορωνοϊό σε σχέση με τους μη καπνίζοντες.",1,1,1,2,3,3,2.0,3.0,4.0
Έχω συναντηθεί με κάποιον που έχει κορωνοϊό τι κάνω;,faq,Στείλτε του ένα SMS,"Αν έχετε εκτεθεί σε κάποιον που έχει COVID-19, πρέπει να ακολουθήσετε τα παρακάτω βήματα:  1. Καλέστε τον πάροχο υγειονομικής περίθαλψης για να εξεταστείτε ή εξετάστε τον εαυτό σας στο σπίτι εάν αισθάνεστε αδιαθεσία. 2. Φορέστε μάσκα όταν αλληλεπιδράτε με άλλους εντός ή εκτός του νοικοκυριού σας ή όταν μοιράζεστε χώρο με άλλους. 3. Ασκήστε τακτικά αναπνευστική εθιμοτυπία: καλύψτε το στόμα και τη μύτη σας με τον λυγισμένο αγκώνα σας ή ένα χαρτομάντιλο όταν βήχετε ή φτερνίζεστε. 4. Μείνετε σε καλά αεριζόμενο χώρο και αποφύγετε πολυσύχναστους, κλειστούς ή κακώς αεριζόμενους χώρους.","«Επαφή», ως προς τον κορωνοϊό, είναι ένα άτομο που δεν παρουσιάζει συμπτώματα ενώ μπορεί να έχει έρθει σε επαφή με περιστατικό νοσούντος ή και ασυμπτωματικού ατόμου. Ο κίνδυνος μόλυνσης εξαρτάται από τον βαθμό έκθεσης στον ιό και για να προσδιορισθεί χρειάζεται συγκεκριμένη διερεύνηση από το προσωπικό του ΕΟΔΥ.",1,2,1,4,5,5,4.0,4.0,3.0
"είμαι στενή επαφή κρούσματος, τι πρέπει να κάνω;",out_of_scope,Εάν πιστεύετε ότι μπορεί να είστε επαφή με κάποιον που έχει μολυνθεί πρόσφατα,"Σε περίπτωση στενής επαφής με κρούσμα, είναι σημαντικό να παρακολουθείτε τα συμπτώματά σας, να ακολουθείτε τα πρωτόκολλα αυτοαπομόνωσης και να ακολουθείτε τις τοπικές οδηγίες υγείας. Παρακάτω είναι τα βήματα που πρέπει να ακολουθήσετε:  1. Αυτοπαρακολούθηση: Παρακολουθείτε τα συμπτώματά σας για 14 ημέρες μετά την τελευταία επαφή με κρούσμα. 2. Αυτοαπομόνωση: Απομονώστε τον εαυτό σας από άλλα άτομα στο σπίτι σας και από την ευρύτερη κοινότητα για 14 ημέρες. 3. Χρήση μάσκας: Φοράτε μάσκα όταν βρίσκεστε κοντά σε άλλους ή σε δημόσιους χώρους.",,1,1,1,5,5,5,,,
"Καλησπέρα, έχω έρθει σε επαφή με επιβεβαιωμενο κρούσμα την Κυριακή, είχαμε δύο μάσκες ο καθένας χωρίς να τις βγάλουμε και ανοικτά παράθυρα στο αυτοκίνητο το οποίο ήταν εν κίνηση",out_of_scope,"αφαιρώντας την από τις θηλιές των αυτιών, χωρίς να αγγίξετε το μπροστινό μέρος της μάσκας η υφασμάτινη μάσκα σας δεν είναι βρώμικη ή υγρή και σκοπεύετε να την επαναχρησιμοποιήσετε, βάλτε την σε μια καθαρή επανασφραγιζόμενη σακούλα.","Αφού ήρθατε σε επαφή με επιβεβαιωμένο κρούσμα την Κυριακή, θα πρέπει να ακολουθήσετε τα παρακάτω βήματα για να ελαχιστοποιήσετε τον κίνδυνο μετάδοσης του COVID-19:  1. Παραμείνετε σε αυτο-απομόνωση για 14 ημέρες από την τελευταία φορά που ήρθατε σε επαφή με το κρούσμα. 2. Αποφύγετε τη στενή επαφή με άλλους, συμπεριλαμβανομένου του να μην μοιράζεστε προσωπικά αντικείμενα ή να μένετε στον ίδιο χώρο για μεγάλα χρονικά διαστήματα. 3. Φοράτε μάσκα όταν βρίσκεστε κοντά σε άλλους, ειδικά σε εσωτερικούς χώρους ή σε πολυσύχναστους χώρους. 4. Καθαρίζετε τα χέρια σας συχνά με σαπούνι και νερό ή απολυμαντικό χεριών με βάση το αλκοόλ.",,2,2,2,4,5,5,,,
ποσό αξιόπιστο είναι το rapid test,out_of_scope,"Τα γρήγορα τεστ αντιγόνων είναι ταχύτερα, αλλά λιγότερο ακριβή από τα τεστ PCR","Το rapid test είναι αξιόπιστο για την ανίχνευση του COVID-19, αλλά είναι λιγότερο ακριβές από τα τεστ PCR. Τα τεστ αντιγόνου είναι πιο εύκολα στη χρήση και μπορούν να πραγματοποιηθούν χωρίς υποστήριξη επαγγελματία υγείας από τις ηλικίες 14 και άνω. Τα τεστ αντιγόνου θα είναι διαθέσιμα από την πρώτη κιόλας εβδομάδα του Απριλίου σε όλους τους πολίτες, και θα μπορούν να κάνουν μόνοι τους την εξέταση. Ο αυτοέλεγχος θα βοηθήσει στην καλύτερη επιδημιολογική επιτήρηση και την πρόληψη, καθώς τα δωρεάν self test θα προστεθούν στις δεκάδες χιλιάδες rapid test που γίνονται καθημερινά από τον ΕΟΔΥ. Επιπλέον, ο ΠΟΥ συνιστά ότι ένας επιβεβαιωμένος ασθενής μπορεί να βγει από την απομόνωση 14 ημέρες μετά την υποχώρηση των συμπτωμάτων.",,3,4,4,5,4,5,,,
Μεταδίδεται ο κορωνοϊός από τα κατοικίδια ζώα;,faq,Διάφοροι τύποι κοροναϊών μπορούν να μολύνουν τα ζώα και να μεταδοθούν σε άλλα ζώα και ανθρώπους.,"Αν και ορισμένοι τύποι κοροναϊών μπορούν να μολύνουν τα ζώα και να μεταδοθούν σε άλλα ζώα και ανθρώπους, ο νέος κορωνοϊός, SARS-CoV-2, δεν μεταδίδεται από τα κατοικίδια ζώα. Είναι εξαιρετικά απίθανο τα κατοικίδια ζώα να διαδραματίζουν κάποιο ρόλο στην εξάπλωση του ιού. Τα κατοικίδια ζώα, όπως τα σκυλιά και οι γάτες, μπορούν να μολυνθούν από τους ιδιοκτήτες τους, αλλά δεν είναι γνωστό ότι παίζουν κάποιο ρόλο στην εξάπλωση του ιού. Ο ρόλος των ζώων συντροφιάς και των εκτρεφόμενων ζώων στην επιδημιολογία και τη μετάδοση της νόσου COVID-19 είναι επί του παρόντος άγνωστος.","Αν και δεν είναι σίγουρο ότι τα κατοικίδια, όπως είναι οι γάτες και οι σκύλοι, μεταδίδουν τον κορωνοϊό, είναι σημαντική η τήρηση των κανόνων υγιεινής στα ζώα συντροφιάς.",3,4,3,4,4,4,5.0,5.0,5.0
ξέρεις τι κάνουν τα τσιπάκια μέσα στο εμβόλιο;,faq,οι γυναίκες που θηλάζουν μπορούν να κάνουν το εμβόλιο όταν καταστεί διαθέσιμο σε αυτές.,"Τα τσιπάκια μέσα στο εμβόλιο δεν είναι στην πραγματικότητα τσιπάκια με την παραδοσιακή έννοια. Τα τσιπάκια που αναφέρονται στο πλαίσιο των εμβολίων COVID-19 αναφέρονται σε μικροσκοπικά, βιοδιασπώμενα σωματίδια που ονομάζονται λιπιδικά νανοσωματίδια. Αυτά τα σωματίδια λειτουργούν ως οχήματα για το γενετικό υλικό του εμβολίου, το οποίο στη συνέχεια παράγει τα αντιγόνα που εκπαιδεύουν το ανοσοποιητικό σύστημα να αναγνωρίζει και να πολεμά τον ιό. Με απλά λόγια, τα τσιπάκια βοηθούν στη μεταφορά του γενετικού υλικού του εμβολίου στα κύτταρα και δεν περιέχουν κάποια μορφή ηλεκτρονικής παρακολούθησης ή ελέγχου.","Το εμβόλιο κατά του κορωνοϊού είναι ασφαλές. Δεν εμπεριέχει κανενός είδους chip που θα μπορούσε να σε βλάψει, ούτε σχετίζεται με δίκτυα 5G, 4G ή κάτι παρόμοιο.",1,1,1,4,4,5,5.0,5.0,5.0
Προκαλεί επακόλουθες επιπλοκές ο κορωνοϊός στους ασθενείς;,out_of_scope,"Ορισμένοι ασθενείς που έλαβαν αναστολείς του υποδοχέα IL-6 ενδέχεται να διατρέχουν υψηλότερο κίνδυνο για επιπλοκές και πρέπει να παρακολουθούνται στενά. Σε αυτούς περιλαμβάνονται οι ασθενείς που λαμβάνουν ταυτόχρονη ανοσοκατασταλτική θεραπεία, οι ασθενείς με επαναλαμβανόμενες χρόνιες λοιμώξεις ή υποκείμενες παθήσεις που τους προδιαθέτουν σε λοιμώξεις και οι οποίοι λαμβάνουν μακροχρόνια αναστολείς των υποδοχέων IL-6 για χρόνιες ιατρικές παθήσεις. Πόσο ακριβοί είναι οι αναστολείς των υποδοχέων IL-6;
Είναι ευρέως διαθέσιμα; Επί του παρόντος, το tocilizumab και το sarilumab είναι ακριβά και σε έλλειψη σε παγκόσμιο επίπεδο.","Ναι, ο κορωνοϊός μπορεί να προκαλέσει επακόλουθες επιπλοκές στους ασθενείς. Παράγοντες που αυξάνουν τον κίνδυνο σοβαρών επιπλοκών περιλαμβάνουν την ηλικία, την παχυσαρκία, την αρτηριακή υπέρταση και τον σακχαρώδη διαβήτη. Οι έγκυες γυναίκες με συμπτώματα διατρέχουν επίσης αυξημένο κίνδυνο εισαγωγής σε ΜΕΘ και αυξημένης πιθανότητας θανάτου. Οι έγκυες με Covid εμφανίζουν συχνότερα επιπλοκές της κύησης, όπως είναι ο πρόωρος τοκετός σε σύγκριση με τις έγκυες χωρίς Covid. Η ενδομήτρια μετάδοση είναι σπάνια. Ωστόσο, ορισμένοι ασθενείς που λαμβάνουν αναστολείς του υποδοχέα IL-6 ενδέχεται να διατρέχουν υψηλότερο κίνδυνο για επιπλοκές και πρέπει να παρακολουθούνται στενά. Οι επιπλοκές μπορούν να περιλαμβάνουν πνευμονία και σύνδρομο οξείας αναπνευστικής δυσχέρειας, θρομβοεμβολικά επεισόδια και το σύνδρομο μακρού COVID.",,2,2,2,5,5,5,,,
